from,to,from_state,to_state,pass,lcv,type,carrier,tab,carrier_type,transit,from_loc,to_loc
"ADELAIDE, SA","ALICE SPRINGS, NT",SA,NT,949.9999999999999,1187.4999999999998,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,ALICE SPRINGS
"ADELAIDE, SA","BRISBANE, QLD",SA,QLD,1029.0,1286.25,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,BRISBANE
"ADELAIDE, SA","CAIRNS, QLD",SA,QLD,1855.9999999999995,2319.9999999999995,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,CAIRNS
"ADELAIDE, SA","DARWIN, NT",SA,NT,1060.8,1644.24,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,DARWIN
"ADELAIDE, SA","DEVONPORT, TAS",SA,TAS,728.8,911.0,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,DEVONPORT
"ADELAIDE, SA","HOBART, TAS",SA,TAS,1125.9999999999998,1407.4999999999998,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,HOBART
"ADELAIDE, SA","MELBOURNE, VIC",SA,VIC,218.39999999999995,272.99999999999994,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,MELBOURNE
"ADELAIDE, SA","MT ISA, QLD",SA,QLD,2320.9999999999995,2901.2499999999995,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,MT ISA
"ADELAIDE, SA","PERTH, WA",SA,WA,837.9999999999998,1047.4999999999998,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,PERTH
"ADELAIDE, SA","SYDNEY, NSW",SA,NSW,680.0,850.0,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,SYDNEY
"ADELAIDE, SA","TOWNSVILLE, QLD",SA,QLD,1501.9999999999998,1877.4999999999998,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,TOWNSVILLE
"ADELAIDE, SA","WOLLONGONG, NSW",SA,NSW,619.9999999999999,774.9999999999999,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,WOLLONGONG
"ALICE SPRINGS, NT","ADELAIDE, SA",NT,SA,399.99999999999994,499.99999999999994,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,ADELAIDE
"ALICE SPRINGS, NT","BRISBANE, QLD",NT,QLD,1143.2,1429.0,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,BRISBANE
"ALICE SPRINGS, NT","CAIRNS, QLD",NT,QLD,2255.6818181818176,2819.602272727272,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,CAIRNS
"ALICE SPRINGS, NT","DARWIN, NT",NT,NT,446.42857142857133,558.0357142857142,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,DARWIN
"ALICE SPRINGS, NT","DEVONPORT, TAS",NT,TAS,1310.9999999999998,1638.7499999999998,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,DEVONPORT
"ALICE SPRINGS, NT","HOBART, TAS",NT,TAS,1525.9999999999998,1907.4999999999998,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,HOBART
"ALICE SPRINGS, NT","MELBOURNE, VIC",NT,VIC,538.4,673.0,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,MELBOURNE
"ALICE SPRINGS, NT","MT ISA, QLD",NT,QLD,2029.220779220779,2536.5259740259735,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,MT ISA
"ALICE SPRINGS, NT","PERTH, WA",NT,WA,1237.9999999999998,1547.4999999999998,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,PERTH
"ALICE SPRINGS, NT","SYDNEY, NSW",NT,NSW,863.9999999999999,1079.9999999999998,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,SYDNEY
"ALICE SPRINGS, NT","TOWNSVILLE, QLD",NT,QLD,1542.2077922077917,1927.7597402597396,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,TOWNSVILLE
"ALICE SPRINGS, NT","WOLLONGONG, NSW",NT,NSW,816.0,1020.0,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,WOLLONGONG
"BRISBANE, QLD","ADELAIDE, SA",QLD,SA,720.8,901.0,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,ADELAIDE
"BRISBANE, QLD","ALICE SPRINGS, NT",QLD,NT,1850.9999999999998,2313.7499999999995,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,ALICE SPRINGS
"BRISBANE, QLD","CAIRNS, QLD",QLD,QLD,1039.0,1298.75,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,CAIRNS
"BRISBANE, QLD","DARWIN, NT",QLD,NT,1489.9999999999995,1862.4999999999995,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,DARWIN
"BRISBANE, QLD","DEVONPORT, TAS",QLD,TAS,1062.3999999999999,1327.9999999999998,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,DEVONPORT
"BRISBANE, QLD","HOBART, TAS",QLD,TAS,1543.0,1928.75,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,HOBART
"BRISBANE, QLD","MELBOURNE, VIC",QLD,VIC,552.0,690.0,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,MELBOURNE
"BRISBANE, QLD","MT ISA, QLD",QLD,QLD,1503.9999999999998,1879.9999999999998,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,MT ISA
"BRISBANE, QLD","PERTH, WA",QLD,WA,1390.3999999999996,1737.9999999999995,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,PERTH
"BRISBANE, QLD","SYDNEY, NSW",QLD,NSW,425.9999999999999,532.4999999999999,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,SYDNEY
"BRISBANE, QLD","TOWNSVILLE, QLD",QLD,QLD,685.0,856.25,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,TOWNSVILLE
"BRISBANE, QLD","WOLLONGONG, NSW",QLD,NSW,366.0,457.5,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,WOLLONGONG
"CAIRNS, QLD","ADELAIDE, SA",QLD,SA,1412.0,1765.0,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,ADELAIDE
"CAIRNS, QLD","ALICE SPRINGS, NT",QLD,NT,1889.6000000000001,2362.0,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,ALICE SPRINGS
"CAIRNS, QLD","BRISBANE, QLD",QLD,QLD,508.0000000000001,635.0000000000001,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,BRISBANE
"CAIRNS, QLD","DARWIN, NT",QLD,NT,1354.9999999999998,1693.7499999999998,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,DARWIN
"CAIRNS, QLD","DEVONPORT, TAS",QLD,TAS,1570.3999999999999,1962.9999999999998,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,DEVONPORT
"CAIRNS, QLD","HOBART, TAS",QLD,TAS,1742.3999999999999,2178.0,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,HOBART
"CAIRNS, QLD","MELBOURNE, VIC",QLD,VIC,1063.9999999999998,1329.9999999999998,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,MELBOURNE
"CAIRNS, QLD","MT ISA, QLD",QLD,QLD,1068.9999999999998,1336.2499999999998,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,MT ISA
"CAIRNS, QLD","PERTH, WA",QLD,WA,2251.9999999999995,2814.9999999999995,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,PERTH
"CAIRNS, QLD","SYDNEY, NSW",QLD,NSW,854.4000000000001,1068.0,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,SYDNEY
"CAIRNS, QLD","TOWNSVILLE, QLD",QLD,QLD,249.99999999999997,312.49999999999994,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,TOWNSVILLE
"CAIRNS, QLD","WOLLONGONG, NSW",QLD,NSW,806.4,1008.0,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,WOLLONGONG
"DARWIN, NT","ADELAIDE, SA",NT,SA,700.8,876.0,depot-depot,AUTOCARE,new-template,hub,,DARWIN,ADELAIDE
"DARWIN, NT","ALICE SPRINGS, NT",NT,NT,700.8,876.0,depot-depot,AUTOCARE,new-template,hub,,DARWIN,ALICE SPRINGS
"DARWIN, NT","BRISBANE, QLD",NT,QLD,1178.9870129870128,1473.733766233766,depot-depot,AUTOCARE,new-template,hub,,DARWIN,BRISBANE
"DARWIN, NT","CAIRNS, QLD",NT,QLD,1310.9999999999998,1638.7499999999998,depot-depot,AUTOCARE,new-template,hub,,DARWIN,CAIRNS
"DARWIN, NT","DEVONPORT, TAS",NT,TAS,1429.6,1787.0,depot-depot,AUTOCARE,new-template,hub,,DARWIN,DEVONPORT
"DARWIN, NT","HOBART, TAS",NT,TAS,1601.5999999999997,2001.9999999999995,depot-depot,AUTOCARE,new-template,hub,,DARWIN,HOBART
"DARWIN, NT","MELBOURNE, VIC",NT,VIC,919.2,1149.0,depot-depot,AUTOCARE,new-template,hub,,DARWIN,MELBOURNE
"DARWIN, NT","MT ISA, QLD",NT,QLD,974.0259740259738,1217.5324675324673,depot-depot,AUTOCARE,new-template,hub,,DARWIN,MT ISA
"DARWIN, NT","PERTH, WA",NT,WA,1236.8,1546.0,depot-depot,AUTOCARE,new-template,hub,,DARWIN,PERTH
"DARWIN, NT","SYDNEY, NSW",NT,NSW,1240.8,1551.0,depot-depot,AUTOCARE,new-template,hub,,DARWIN,SYDNEY
"DARWIN, NT","TOWNSVILLE, QLD",NT,QLD,956.9999999999999,1196.2499999999998,depot-depot,AUTOCARE,new-template,hub,,DARWIN,TOWNSVILLE
"DARWIN, NT","WOLLONGONG, NSW",NT,NSW,1192.8,1491.0,depot-depot,AUTOCARE,new-template,hub,,DARWIN,WOLLONGONG
"DEVONPORT, TAS","ADELAIDE, SA",TAS,SA,1089.0,1361.25,depot-depot,AUTOCARE,new-template,hub,,DEVONPORT,ADELAIDE
"DEVONPORT, TAS","ALICE SPRINGS, NT",TAS,NT,2038.9999999999998,2548.7499999999995,depot-depot,AUTOCARE,new-template,hub,,DEVONPORT,ALICE SPRINGS
"DEVONPORT, TAS","BRISBANE, QLD",TAS,QLD,1212.8,1516.0,depot-depot,AUTOCARE,new-template,hub,,DEVONPORT,BRISBANE
"DEVONPORT, TAS","CAIRNS, QLD",TAS,QLD,2459.9999999999995,3074.9999999999995,depot-depot,AUTOCARE,new-template,hub,,DEVONPORT,CAIRNS
"DEVONPORT, TAS","DARWIN, NT",TAS,NT,1922.4,2403.0,depot-depot,AUTOCARE,new-template,hub,,DEVONPORT,DARWIN
"DEVONPORT, TAS","HOBART, TAS",TAS,TAS,215.00000000000003,268.75000000000006,depot-depot,AUTOCARE,new-template,hub,,DEVONPORT,HOBART
